Review,Variable,Description_prompt,Answer_select,NR,SET,Title,Authors,Venue,Year,Filename,Goldstandard1_value,Goldstandard2_value,Match,Consensus_value
Lagisz_2020,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",1,DEV,Brief owner absence does not induce negative judgement bias in pet dogs,"Corsin A Müller, Stefanie Riemer, Claudia M Rosam, Julia Schößwender, Friederike Range, Ludwig Huber",-,-,Mueller2012,No,No,TRUE,No
Lagisz_2020,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",2,DEV,Chronic psychosocial stress makes rats more 'pessimistic' in the ambiguous-cue interpretation paradigm,"Justyna Papciak, Piotr Popik, Eberhard Fuchs, Rafal Rygula",-,-,Papciak2013,No,No,TRUE,No
Lagisz_2020,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",3,DEV,Effects of a chronic stress treatment on vaccinal response in lambs,"A Destrez, A Boissy, L Guilloteau, S Andanson, A Souriau, K Laroucau, E Chaillou, V Deiss",Animal,2017,Destrez2017,No,No,TRUE,No
Lagisz_2020,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",4,DEV,Mood and personality interact to determine cognitive biases in pigs,"Lisa M Collins, Lucy Asher, Mary Friel, Kym Griffin",Biology Letters,2016,Asher2016,Yes,Yes,TRUE,Yes
Lagisz_2020,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",5,DEV,Release from restraint generates a positive judgement bias in sheep,"Rebecca E Doyle, Andrew D Fisher, Geoff N Hinch, Alain Boissy, Caroline Lee",,2010,Doyle2010a,No,No,TRUE,No
Lagisz_2020,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",6,DEV,Repeated exposure to positive events induces optimistic-like judgment and enhances fearfulness in chronically stressed sheep,"Alexandra Destrez, Véronique Deiss, Christine Leterrier, Ludovic Calandreau, Alain Boissy",,2014,Destrez2014,No,No,TRUE,No
Lagisz_2020,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",7,DEV,Rescued goats at a sanctuary display positive mood after former neglect,"Elodie F Briefer, Alan G Mcelligott",,2013,Briefer2013,No,No,TRUE,No
Lagisz_2020,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",8,DEV,Trait Pessimism Predicts Vulnerability to Stress-Induced Anhedonia in Rats,"Rafal Rygula, Justyna Papciak, Piotr Popik",Neuropsychopharmacology,2013,Rygula2013,No,No,TRUE,No
Lagisz_2020,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",9,TEST,Can the way pigs are handled alter behavioural and physiological measures of affective state?,"Ricard Carreras, Laura Arroyo, Eva Mainau, Daniel Valent, Anna Bassols, Antoni Dalmau, Luigi Faucitano, Xavier Manteca, Antonio Velarde",Behavioural Processes,2017,Carreras2017,No,No,TRUE,No
Lagisz_2020,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",10,TEST,"Does stocking density modify affective state in pigs as assessed by cognitive bias, behavioural and physiological parameters?","Annalisa Scollo, Flaviana Gottardo, Barbara Contiero, Sandra A Edwards",,2014,Scollo2014,No,No,TRUE,No
Lagisz_2020,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",11,TEST,Effect of gender and halothane genotype on cognitive bias and its relationship with fear in pigs,"Ricard Carreras, Laura Arroyo, Eva Mainau, Raquel Pe Ña, Anna Bassols, Antoni Dalmau, Luigi Faucitano, Xavier Manteca, Antonio Velarde",,2016,Carreras2016,No,No,TRUE,No
Lagisz_2020,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",12,TEST,"Effects of Cage Enrichment on Behavior, Welfare and Outcome Variability in Female Mice","Jeremy D Bailoo, Eimear Murphy, Maria Boada-Saña, Justin A Varholick, Sara Hintze, Caroline Baussière, Kerstin C Hahn, Christine Göpfert, Rupert Palme, Bernhard Voelkl, Hanno Würbel",Frontiers in Behavioral Neuroscience,2018,Bailoo_2018,Yes,Yes,TRUE,Yes
Lagisz_2020,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",13,TEST,Frontal brain deactivation during a non-verbal cognitive judgement bias test in sheep,"Kathrin Guldimann, Sabine Vögeli, Martin Wolf, Beat Wechsler, Lorenz Gygax",Brain and Cognition,2015,Guldimann2015,No,No,TRUE,No
Lagisz_2020,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",14,TEST,"Measurement of cognitive bias and cortisol levels to evaluate the effects of space restriction on captive collared peccary (Mammalia, Tayassuidae)","Flávia R M Oliveira, Sérgio L G Nogueira-Filho, Maria B C Sousa, Carlos T S Dias, Michael Mendl, Selene S C Nogueira",,2016,Oliveira2016,No,No,TRUE,No
