Review,SET,Date,Person,Variable_nr,Iteration,Column_name_original,Column_name,Instructions,Study_scope_reporting,Answer_structure,Answer_structure_type,Notes,N_correct,N_incorrect,Censor
Samarasinghe_2019,DEV,7-Apr-25,ML,1,GOLD STANDARD,Built environment scale,Built environment scale,Type of built environments reviewed in the review article. Select only one answer from the predefined list of Specified Possible Answers.,Scope,"Predefined list (select one answer):
Global / Country / Region, Urban area / Urban system, Building system, Material / Device, Community / Population group",Categorical,"Note:  The decision rules were not explicitly specified in the review. I exported data only one answer is shown per review, while it seems from the text that more than one answer option was possible.",,,0
Samarasinghe_2019,DEV,7-Apr-25,ML,1,1,Built environment scale,Built environment scale,"Type and scale of built environments neing the main focus of the  article. The answer should be one of: ""Global / Country / Region"", ""Urban area / Urban system"", ""Building system"", ""Material / Device"", ""Community / Population group"". Select ""Global / Country / Region"" if the scope is very broad allowing inclusion of any type of built environment. Select  ""Urban area / Urban system""  if the sfocus is exclusively on urban areas and cities. . Select ""Building system"" if the sacel is specifically on buildings and elements of buildings. Select ""Material / Device"" if the focus is on materials or devices.  Select ""Community / Population group"" if the focus is on interaction between humans and elements of built environments of any type.",Scope,"""Global / Country / Region"", ""Urban area / Urban system"", ""Building system"", ""Material / Device"", ""Community / Population group"".",Categorical,Agreement: 3/8. Note: Elicit is electing 1+ answers - ignoring instruction to select only one. Coded as green (=match) if at least one matched,3,5,0
Samarasinghe_2019,DEV,7-Apr-25,ML,1,2,Built environment scale,Built environment scale,"Type and scale of built environments that is the main focus of the  article. The answer should be one of: ""Global / Country / Region"", ""Urban area / Urban system"", ""Building system"", ""Material / Device"", ""Community / Population group"". Select ""Global / Country / Region"" if the scope is very broad allowing inclusion of any type of built environment. Select  ""Urban area / Urban system""  if the focus is exclusively on urban areas and cities. . Select ""Building system"" if the focus is specifically on buildings and elements of buildings. Select ""Material / Device"" if the focus is on materials or devices.  Select ""Community / Population group"" if the focus is on interaction between humans and elements of built environments of any type.",Scope,"""Global / Country / Region"", ""Urban area / Urban system"", ""Building system"", ""Material / Device"", ""Community / Population group"".",Categorical,Agreement: 2/8. Note: added more detailed description but no much improvement.,2,6,0
Samarasinghe_2019,DEV,7-Apr-25,ML,1,3,Built environment scale,Built environment scale,"Type and scale of built environments that is the main focus of the  article. The answer should be one of: ""Global / Country / Region"", ""Urban area / Urban system"", ""Building system"", ""Material / Device"", ""Community / Population group"". Select ""Global / Country / Region"" if the scope is very broad allowing inclusion of any type of built environment at global scale, or country or specific region or climatic zone. Select  ""Urban area / Urban system""  if the focus is exclusively on urban areas and cities, but not on the people living in the urban environments. Select ""Building system"" if the focus is specifically on buildings and elements of buildings on a global scale and not exclusively in urban areas. Select ""Material / Device"" if the focus is on materials or devices on aglobal scale and not exclusively in urban areas.  Select ""Community / Population group"" if the focus is on interaction between humans and elements of built environments of any type, location, or in urban areas specifically.",Scope,"""Global / Country / Region"", ""Urban area / Urban system"", ""Building system"", ""Material / Device"", ""Community / Population group"".",Categorical,Agreement: 3/8. Note:  Inferring the rules from the Gold Standard answers did not help muchj.,3,5,0
Samarasinghe_2019,DEV,7-Apr-25,ML,1,4,Built environment scale,Built environment scale,"Type and scale of built environments that is the main focus of the  article. The answer should be one of: ""Global / Country / Region"", ""Urban area / Urban system"", ""Building system"", ""Material / Device"", ""Community / Population group"". Select ""Global / Country / Region"" if the scope is very broad allowing inclusion of any type of built environment at global scale, or country or specific region or climatic zone. Select  ""Urban area / Urban system""  if the focus is exclusively on urban areas and cities, including elements and services of such ares (for example green or blue spacess, traffick, transport), but not on the people living in the urban environments. Select ""Building system"" if the focus is specifically on buildings and elements of buildings on a global scale and not exclusively in urban areas. Select ""Material / Device"" if the focus is on materials or devices on aglobal scale and not exclusively in urban areas.  Select ""Community / Population group"" if the focus is on interaction between humans and elements of built environments of any type, location, or in urban areas specifically (for example human health, longevity, habits).",Scope,"""Global / Country / Region"", ""Urban area / Urban system"", ""Building system"", ""Material / Device"", ""Community / Population group"".",Categorical,Agreement: 3/8. Note: added examples,3,5,0
Samarasinghe_2019,DEV,7-Apr-25,ML,1,5,Built environment scale,Built environment scale,"Type and scale of built environments that is the main focus of the  article. Select ""Global / Country / Region"" if the scope is very broad allowing inclusion of any type of built environment at global scale, or country or specific region or climatic zone (for example reviewing global patterns, patterns in temperate climate, patterns in a single country). Select  ""Urban area / Urban system""  if the focus is exclusively on urban areas and cities, including elements and services of such ares (for example, green or blue spaces, traffic, transport), but not on the people living in the urban environments. Select ""Building system"" if the focus is specifically on buildings and elements of buildings on a global scale and not exclusively in urban areas (for example, use of certain material globally). Select ""Material / Device"" if the focus is on materials or devices on a global scale and not exclusively in urban areas (for example, reviewing the use of smart meters in general).  Select ""Community / Population group"" if the focus is on interaction between humans and elements of built environments of any type, location, or in urban areas specifically (for example human health, longevity, habits).",Scope,"""Global / Country / Region"", ""Urban area / Urban system"", ""Building system"", ""Material / Device"", ""Community / Population group"".",Categorical,Agreement: 3/8. Note: added more examples. REPLACE VARIABLE+O11,3,5,0
Samarasinghe_2019,DEV,7-Apr-25,ML,2,GOLD STANDARD,Geographically focused,Geographically focused,Whether it is focused on a particular geographic region,Scope,"Predefined list (select one answer):
Yes,
No",Yes/No,,,,0
Samarasinghe_2019,DEV,7-Apr-25,ML,2,1,Geographically focused,Geographically focused,Whether it is focused on a particular geographic region,Scope,"Predefined list (select one answer):
yes,
no",Yes/No,Agreement: 4/8. Note: assessed by the focus of the included/reviewed studies ,4,4,0
Samarasinghe_2019,DEV,7-Apr-25,ML,2,2,Geographically focused,Geographically focused,"Whether it is focused on a particular geographic region.This applies to the aims of the review and its inclusion criteria, not to the coverage of actually included and reviewed studies.",Scope,"Predefined list (select one answer):
yes,
no",Yes/No,Agreement: 4/8. Note: assessed by the focus of the included/reviewed studies ,4,4,0
Samarasinghe_2019,DEV,7-Apr-25,ML,2,3,Geographically focused,Geographically focused,"Whether it is focused on a particular geographic region.This applies to the aims of the review and its inclusion criteria, not to the coverage of actually included and reviewed studies. If aims are to collect evidence globally or do not specify that review is focused on particular geographic regiosn (country, continent, climatic zone), the answer should be coded as ""no"". If the aims and/or If inclusion criteria state that the only studies from particular geographic area are of interest or eligible to be included, the answers should be coded as ""yes"".",Scope,"Predefined list (select one answer):
yes,
no",Yes/No,"Agreement: 6 /8 (8/8). Note: one yes scorect incorrectly by humans, as review focuses on high income countris, and the other too, as the review is focused on ""temperate climate"" . FINISHED (i=uncovered 2 human mistakes)",8,0,0
