Review,SET,sample_nr,DOI,author_year,title,authors,journal,year
Samaraasinghe_2019,DEV,1,10.1016/j.envint.2016.08.019,Gong_2016,A systematic review of the relationship between objective measurements of the urban environment and psychological distress,"Gong, Y., Marsden, T., Palmer, S., Fone, D., Gallacher, J.",Environment International,2016
Samaraasinghe_2019,DEV,2,10.1186/1471-2458-14-233,Mackenbach_2014,"Obesogenic environments: a systematic review of the association between the physical environment and adult weight status, the SPOTLIGHT project","De Bourdeaudhuij, I., Brug, J., Oppert, J.M., Compernolle, S.,  Mackenbach, J.D., Nijpels, G., Charreire, H., Glonti, K., Rutter, H., Lakerveld, J.",BMC Public Health,2014
Samaraasinghe_2019,DEV,3,10.1016/j.tranpol.2012.11.005,Redman_2013,Quality attributes of public transport that attract car users: A research review,"Redman, L., Hartig, T., Friman, M., Garling, T.",Transport Policy,2013
Samaraasinghe_2019,DEV,4, 10.1016/j.socscimed.2014.11.051,Hunter_2015,The impact of interventions to promote physical activity in urban green space: A systematic review and recommendations for future research,"Hunter, R.F., Christian, H., Veitch, J., Astell-Burt, T., Hipp, J.A., Schipperijn, J. ",Social Science and Medicine,2015
Samaraasinghe_2019,DEV,5,10.3390/ijerph14070675,Browning_2017,Within what distance does ‚greenness‚ best predict physical health? A systematic review of articles with gis buffer analyses across the lifespan,"Browning M., Lee, K.",International Journal of Environmental Research and Public Health,2017
Samaraasinghe_2019,DEV,6,10.1016/j.rser.2015.10.075,Pomponi_2016,Energy performance of Double-Skin Facades in temperate climates: A systematic review and meta-analysis,"Pomponi, F., Piroozfar, P.A.E., Southall, R., Ashton, P., Farr, E.R.P.",Renewable and Sustainable Energy Reviews,2016
Samaraasinghe_2019,DEV,7,10.1016/j.trd.2017.04.032,Centobelli_2017,Environmental sustainability in the service industry of transportation and logistics service providers: Systematic literature review and research directions,"Centobelli, P., Cerchione, R., Esposito, E.",Transportation Research Part D: Transport and Environment,2017
Samaraasinghe_2019,DEV,8,10.1016/j.amepre.2009.06.022,Yen_2009,Neighborhood environment in studies of health of older adults: a systematic review,"Yen, I.H., Michael, Y. L., Perdue, L.",American Journal of Preventive Medicine,2009
Samaraasinghe_2019,TEST,9,10.1016/j.rser.2016.01.115,Mavrigiannaki_2016,Latent heat storage in building elements: A systematic review on properties and contextual performance factors,"Mavrigiannaki, A., Ampatzi, E.",Renewable and Sustainable Energy Reviews,2016
Samaraasinghe_2019,TEST,10,10.1371/journal.pone.0180369,Sanderson_2017,The use of climate information to estimate future mortality from high ambient temperature: A systematic literature review,"Sanderson, M., Arbuthnott, K., Kovats, S., Hajat, S., Falloon, P.",PLoS ONE,2017
Samaraasinghe_2019,TEST,11,10.1016/j.rser.2015.10.084,Barrios-O'Neill_2016,Online engagement for sustainable energy projects: A systematic review and framework for integration,"Barrios-O'Neill, D., Schuitema, G.",Renewable and Sustainable Energy Reviews,2016
Samaraasinghe_2019,TEST,12,10.1186/1471-2458-12-807,VanHolle_2012,Relationship between the physical environment and different domains of physical activity in European adults: a systematic review,"Van Holle, V., Deforche, B., Van Cauwenberg, J., Goubert, L., Maes, L., Van de Weghe, N., De Bourdeaudhuij, I.",BMC Public Health,2012
Samaraasinghe_2019,TEST,13,10.1136/jech-2012-202124,Fenwick_2013,Economic analysis of the health impacts of housing improvement studies: A systematic review,"Fenwick, E., Macdonald, C., Thomson, H.",Journal of Epidemiology and Community Health,2013
Samaraasinghe_2019,TEST,14,10.1016/j.jclepro.2014.12.078,Zuo_2015,Impacts of heat waves and corresponding measures: A review,"Zuo, J., Pullen, S., Palmer, J., Bennetts, H., Chileshe, N., Ma, T.",Journal of Cleaner Production,2015
Samaraasinghe_2019,TEST,15,10.1186/s12966-017-0558-z,Barnett_2017,Built environmental correlates of older adults‚Äô total physical activity and walking: a systematic review and meta-analysis,"Barnett, D.W., Barnett, A., Nathan, A., Van Cauwenberg, J., Cerin, E., Council on Environment and Physical Activity (CEPA) – Older Adults working group",International Journal of Behavioral Nutrition and Physical Activity,2017
Samaraasinghe_2019,TEST,16,10.4103/1463-1741.134916,Dzhambov_2014,Urban green spaces' effectiveness as a psychological buffer for the negative health impact of noise pollution: A systematic review,"Dzhambov, A.M., & Dimitrova, D.D.",Noise and Health,2014
Lagisz_2020,DEV,1,10.1007/s10071-012-0526-6,Mueller2012,Brief owner absence does not induce negative judgement bias in pet dogs,"Mueller, Corsin A., Riemer, Stefanie , Rosam, Claudia M., Schoesswender, Julia , Range, Friederike , Huber, Ludwig",Animal Cognition,2012
Lagisz_2020,DEV,2,10.1016/j.bbr.2013.08.036,Papciak2013,Chronic psychosocial stress makes rats more 'pessimistic' in the ambiguous-cue interpretation paradigm,"Papciak, J., Popik, P., Fuchs, E., Rygula, R.",Behavioural Brain Research,2013
Lagisz_2020,DEV,3,10.1017/S1751731116002317,Destrez2017,Effects of a chronic stress treatment on vaccinal response in lambs,"Destrez, A., Boissy, A., Guilloteau, L., Andanson, S., Souriau, A., Laroucau, K., Chaillou, E., Deiss, V.",Animal,2017
Lagisz_2020,DEV,4,10.1098/rsbl.2016.0402,Asher2016,Mood and personality interact to determine cognitive biases in pigs,"Asher, L., Friel, M., Griffin, K., Collins, L.M.",Biology Letters,2016
Lagisz_2020,DEV,5,10.1016/j.applanim.2009.11.003,Doyle2010a,Release from restraint generates a positive judgement bias in sheep,"Doyle, R. E., Fisher, A. D., Hinch, G. N., Boissy, A., Lee, C.",Applied Animal Behaviour Science,2010
Lagisz_2020,DEV,6,10.1016/j.applanim.2014.01.005,Destrez2014,Repeated exposure to positive events induces optimistic-like judgment and enhances fearfulness in chronically stressed sheep,"Destrez, A., Deiss, V., Leterrier, C., Cal,reau, L., Boissy, A.",Applied Animal Behaviour Science,2014
Lagisz_2020,DEV,7,10.1016/j.applanim.2013.03.007,Briefer2013,Rescued goats at a sanctuary display positive mood after former neglect,"Briefer, E. F., McElligott, A. G.",Applied Animal Behaviour Science,2013
Lagisz_2020,DEV,8,10.1038/npp.2013.116,Rygula2013,Trait pessimism predicts vulnerability to stress-induced anhedonia in rats.,"Rygula, R., Papciak, J., Popik, P.",Neuropsychopharmacology ,2013
Lagisz_2020,TEST,9,10.1016/j.beproc.2017.06.005,Carreras2017,Can the way pigs are handled alter behavioural and physiological measures of affective state?,"Carreras, R., Arroyo, L., Mainau, E., Valent, D., Bassols, A., Dalmau, A., Faucitano, L., Manteca, X., Velarde, A.",Behavioural Process,2017
Lagisz_2020,TEST,10,10.1016/j.applanim.2014.01.006,Scollo2014,"Does stocking density modify affective state in pigs as assessed by cognitive bias, behavioural and physiological parameters?","Scollo, A., Gottardo, F., Contiero, B., Edwards, S. A.",Applied Animal Behaviour Science,2014
Lagisz_2020,TEST,11,10.1016/j.applanim.2016.01.019,Carreras2016,Effect of gender and halothane genotype on cognitive bias and its relationship with fear in pigs,"Carreras, R., Arroyo, L., Mainau, E., Pe_a, R., Bassols, A., Dalmau, A., Faucitano, L.,  Manteca, X., Velarde, A.",Applied Animal Behaviour Science,2016
Lagisz_2020,TEST,12,10.3389/fnbeh.2018.00232,Bailoo2018,"Effects of cage enrichment on behavior, elfare and outcome variability in female mice","Bailoo JD, Murphy E, Boada-Saña M, Varholick JA, Hintze S, Baussière C, Hahn KC, Göpfert C, Palme R, Voelkl B, Wu_rbel H",Frontiers in Behavioral Neuroscience,2018
Lagisz_2020,TEST,13,10.1016/j.bandc.2014.11.004,Guldimann2015,Frontal brain deactivation during a non-verbal cognitive judgement bias test in sheep ,"Guldimann, K., V_geli, S., Wolf, M., Wechsler B., Gygax, L.",Brain and Cognition,2015
Lagisz_2020,TEST,14,10.1016/j.applanim.2016.05.021,Oliveira2016,"Measurement of cognitive bias and cortisol levels to evaluate the effects of space restriction on captive collared peccary (Mammalia, Tayassuidae)","Oliveira, F.R.M., Nogueira-Filho, S.L.G., Sousa, M.B.C., Dias, C.T.S, Mendl, M., Nogueira, S.S.C.",Applied Animal Behaviour Science,2016
Lagisz_2020,TEST,15,10.1016/j.applanim.2016.09.007,Horvàth2016,The effects of housing conditions on judgement bias in Japanese quail,"Horvàth, M., Pichovà, K., KoØstÍàl, L.",Applied Animal Behaviour Science,2016
Lagisz_2020,TEST,16,10.1007/s10071-013-0684-1,Keen2014,Validation of a novel cognitive bias task based on difference in quantity of reinforcement for assessing environmental enrichment,"Keen, H. A., Nelson, O. L., Robbins, C. T., Evans, M., Shepherdson, D. J., Newberry, R. C.",Animal Cognition,2014
Yang_2024,DEV,1,10.1016/j.envpol.2019.113278,Renthlei_2019,Effect of urban environment on pineal machinery and clock genes expression of tree sparrow (Passer montanus) ,"Renthlei, Z., Trivedi, A. K.",Environmental Pollution,2019
Yang_2024,DEV,2,10.1016/s0016-6480(03)00168-0,Iigo_2003,"Effects of photic environment on ocular melatonin contents in a labrid teleost, the wrasse Halichoeres tenuispinnis","Iigo, M., Sato, M., Ikeda, E., Kawasaki, S., Noguchi, F., Nishi, G.",General and Comparative Endocrinology,2003
Yang_2024,DEV,3,10.1242/jeb.239350 ,Ziegler_2021,Exposure to artificial light at night alters innate immune response in wild great tit nestlings,"Ziegler, A. K., Watson, H., Hegemann, A., Meitern, R., Canoine, V., Nilsson, J. Å., Isaksson, C.",Journal of Experimental Biology,2021
